name,referenced,referenced non-empty,read non-empty,used,unused non-empty,present non-empty,exact match,widened,narrowed,optimized away non-empty,dependent,other reasons unused non-empty,polluted,used polluted,unused polluted,used polluted exact match,used polluted widened,used polluted narrowed,closure version compilations,closure version compilations using some type feedback,referenced non-empty / referenced,read non-empty / referenced,used / referenced,optimized away non-empty / unused non-empty,dependent / unused non-empty,other reasons unused non-empty / unused non-empty,polluted / referenced non-empty,unused polluted / unused non-empty,used polluted / used,used polluted / polluted,used polluted exact match / exact match,used polluted widened / widened,used polluted narrowed / narrowed,used / referenced non-empty
"areWeFast:Bounce_nonames_simple",264,160,117,12,148,77,7,5,0,71,128,9,16,3,13,0,3,0,11,7,0.781433,0.680735,0.172829,0.355792,0.556005,0.327005,0.220293,0.172798,0.333333,0.333333,0,0.75,0,0.204793
"shootout:binarytrees/binarytrees_naive",1070,341,218,83,258,112,56,27,0,146,213,33,72,21,51,4,17,0,22,13,0.565916,0.382067,0.113918,0.532638,0.606639,0.268119,0.2052,0.18077,0.336752,0.3225,0.0745921,0.690476,0,0.242096
"shootout:knucleotide/knucleotide",1493,809,499,148,661,251,89,59,0,410,517,64,71,12,59,0,12,0,59,33,0.71124,0.562396,0.117276,0.537912,0.555019,0.209557,0.108234,0.0872462,0.177082,0.223333,0,0.252232,0,0.164559
"shootout:fasta/fasta_naive_2",598,343,251,73,270,111,44,29,0,159,225,19,23,5,18,0,5,0,17,11,0.742709,0.549981,0.126782,0.463718,0.565152,0.272775,0.0883816,0.0601713,0.164773,0.236607,0,0.247619,0,0.171056
"shootout:fannkuch/fannkuchredux",251,184,165,5,179,64,4,1,0,115,163,8,6,1,5,0,1,0,6,3,0.701663,0.616824,0.0829083,0.567955,0.619899,0.176717,0.120922,0.0876263,0.333333,0.166667,0,1,0,0.109883
"shootout:pidigits/pidigits",5651,2774,2206,1000,1774,730,657,342,1,1044,1634,77,688,324,364,38,286,0,92,80,0.613941,0.495071,0.230395,0.548225,0.800988,0.138176,0.295624,0.306938,0.316609,0.475192,0.0436083,0.755404,0,0.374256
"shootout:fannkuch/fannkuchredux_naive",244,164,144,3,161,52,2,1,0,109,145,8,6,1,5,0,1,0,5,2,0.719555,0.61766,0.0650907,0.570241,0.524185,0.221241,0.151487,0.109877,0.5,0.166667,0,1,0,0.0662594
"areWeFast:Mandelbrot",358,280,213,24,256,117,14,10,0,139,233,10,19,4,15,0,4,0,14,9,0.843402,0.728668,0.161456,0.344474,0.689372,0.192308,0.209424,0.170797,0.194444,0.21875,0,0.388889,0,0.19647
"RealThing:flexclust_no_s4",5335,2494,1814,701,1793,769,521,179,1,1024,1484,147,245,58,187,8,49,1,144,94,0.609136,0.520771,0.157897,0.435536,0.492764,0.325347,0.166014,0.145458,0.207183,0.247717,0.0444347,0.353922,1,0.266406
"kaggle:titanic",66119,32697,22107,7017,25680,12094,4506,2501,16,13586,19658,3085,6290,1047,5243,272,767,14,2020,1234,0.656173,0.479126,0.116487,0.429915,0.577417,0.245014,0.242588,0.242474,0.214117,0.157414,0.0819399,0.374887,0.928571,0.181532
"RealThing:volcano",2037,507,465,119,388,155,107,12,0,233,354,17,17,3,14,0,3,0,23,16,0.551936,0.514229,0.169042,0.432315,0.541501,0.316184,0.0778665,0.0561078,0.09375,0.3125,0,0.25,0,0.310995
