benchmark,closure,referenced,referenced non-empty,read non-empty,used,unused non-empty,present non-empty,exact match,widened,narrowed,optimized away non-empty,dependent,other reasons unused non-empty,polluted,used polluted,unused polluted,used polluted exact match,used polluted widened,used polluted narrowed
"areWeFast:Bounce_nonames_simple","match",4,4,4,1,3,1,0,1,0,2,0,1,2,1,1,0,1,0
"areWeFast:Bounce_nonames_simple","nextRandom",7,7,6,3,4,2,2,1,0,2,4,0,1,1,0,0,1,0
"areWeFast:Bounce_nonames_simple","FUN",8,8,8,4,4,3,2,2,0,1,4,0,0,0,0,0,0,0
"areWeFast:Bounce_nonames_simple","bounce",63,46,28,1,45,27,1,0,0,18,44,1,0,0,0,0,0,0
"areWeFast:Bounce_nonames_simple","lapply",17,13,8,0,13,7,0,0,0,6,10,0,4,0,4,0,0,0
"areWeFast:Bounce_nonames_simple","match.fun",40,3,3,1,2,1,0,1,0,1,1,1,2,1,1,0,1,0
"areWeFast:Bounce_nonames_simple","vector",2,2,2,0,2,2,0,0,0,0,0,2,1,0,1,0,0,0
"areWeFast:Bounce_nonames_simple","verifyResult",2,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"areWeFast:Bounce_nonames_simple","execute",113,70,52,1,69,29,1,0,0,40,63,1,6,0,6,0,0,0
"areWeFast:Bounce_nonames_simple","Sys.time",8,5,4,0,5,4,0,0,0,1,2,2,0,0,0,0,0,0
"areWeFast:Bounce_nonames_simple","stdout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","match",4,4,4,2,2,1,0,2,0,1,0,1,2,2,0,0,2,0
"shootout:binarytrees/binarytrees_naive","%in%",8,8,8,2,6,3,1,1,0,3,0,3,4,1,3,0,1,0
"shootout:binarytrees/binarytrees_naive","tree",30,8,3,1,7,2,1,0,0,5,6,1,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","tree",30,17,8,3,14,5,3,0,0,9,12,2,2,0,2,0,0,0
"shootout:binarytrees/binarytrees_naive","check",19,8,6,5,3,1,2,3,0,2,2,1,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","check",19,16,12,8,8,4,5,3,0,4,7,1,4,2,2,0,2,0
"shootout:binarytrees/binarytrees_naive","tree",30,17,8,0,17,7,0,0,0,10,14,2,2,0,2,0,0,0
"shootout:binarytrees/binarytrees_naive","tree",30,17,8,2,15,6,1,1,0,9,12,3,10,1,9,0,1,0
"shootout:binarytrees/binarytrees_naive","check",19,16,12,9,7,3,3,6,0,4,7,0,12,7,5,2,5,0
"shootout:binarytrees/binarytrees_naive","stdout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","tree",30,17,8,0,17,8,0,0,0,9,14,3,10,0,10,0,0,0
"shootout:binarytrees/binarytrees_naive","Sys.time",8,5,4,0,5,4,0,0,0,1,2,2,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","is.logint",9,4,4,0,4,1,0,0,0,3,4,0,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","FUN",6,4,2,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","match.fun",40,3,3,1,2,1,0,1,0,1,1,1,2,1,1,0,1,0
"shootout:binarytrees/binarytrees_naive","binarytrees_naive",159,104,43,20,84,25,13,7,0,59,76,6,24,7,17,2,5,0
"shootout:binarytrees/binarytrees_naive","execute",2,2,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","unknown--fromOverride",487,76,72,28,48,31,25,3,0,17,46,2,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","is.vector",2,2,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","chkDots",15,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","vapply",17,9,7,0,9,6,0,0,0,3,6,1,0,0,0,0,0,0
"shootout:binarytrees/binarytrees_naive","mostattributes<-",106,3,3,1,2,2,1,0,0,0,0,2,0,0,0,0,0,0
"shootout:knucleotide/knucleotide","match",4,4,4,2,2,1,0,2,0,1,0,1,2,2,0,0,2,0
"shootout:knucleotide/knucleotide","%in%",8,8,8,2,6,3,1,1,0,3,0,3,4,1,3,0,1,0
